Weather_Condition,Nearby_Vessel,Vessel_Distance_NM,Vessel_Speed_Knots,Radar_Object_Detected,Radar_Distance_NM,Ship_Speed_Knots,Risk_Level
Rain,Yes,3.91,2.1,Yes,0.69,18.46,Critical
Rain,Yes,8.72,9.83,No,8.85,5.94,Moderate
Clear,Yes,9.23,2.51,Yes,9.67,16.33,Safe
Clear,No,1.68,0.41,Yes,3.74,20.27,Moderate
Clear,No,6.41,16.54,No,3.72,7.73,Safe
Storm,No,6.35,15.06,Yes,0.57,9.57,Critical
Storm,No,4.75,4.08,Yes,6.96,22.65,High
Rain,No,11.23,5.85,Yes,8.34,5.4,Moderate
Rain,No,10.02,0.59,No,1.89,20.05,Moderate
Rain,No,8.52,20.87,No,2.02,14.48,Moderate
Clear,No,8.71,24.37,No,8.01,13.94,Safe
Storm,Yes,5.81,3.39,No,6.35,5.14,High
Clear,Yes,11.09,5.79,No,0.93,21.39,Safe
Clear,Yes,8.49,21.71,Yes,6.41,12.2,Safe
Clear,Yes,8.88,23.16,No,3.43,15.82,Safe
Clear,No,10.41,10.49,No,4.0,18.55,Safe
Clear,Yes,3.65,1.27,No,7.81,19.05,Moderate
Rain,Yes,9.78,0.98,Yes,8.2,24.12,Moderate
Clear,No,2.75,14.35,No,4.3,15.63,Safe
Rain,No,4.47,9.82,No,9.5,12.99,Moderate
Clear,Yes,4.36,0.72,No,4.36,24.07,Moderate
Clear,No,11.75,14.58,Yes,7.83,17.84,Safe
Clear,No,10.35,0.28,No,5.1,10.96,Safe
Clear,No,8.56,19.68,No,9.03,7.53,Safe
Rain,No,8.86,7.66,Yes,9.12,21.85,Moderate
Clear,No,6.96,1.01,Yes,1.33,12.24,High
Rain,No,11.39,14.71,Yes,9.4,18.21,Moderate
Clear,No,6.21,9.94,No,8.34,14.42,Safe
Rain,No,4.88,24.35,No,8.02,8.98,Moderate
Storm,Yes,2.37,13.6,Yes,2.41,17.03,Critical
Rain,No,9.54,6.88,No,8.15,6.21,Moderate
Clear,No,8.95,17.74,Yes,8.58,13.27,Safe
Clear,No,4.92,6.79,No,3.25,15.93,Safe
Clear,Yes,0.79,22.61,No,9.55,13.72,Moderate
Rain,No,10.15,9.37,No,0.97,19.97,Moderate
Clear,No,0.63,13.75,No,1.92,21.56,Safe
Clear,Yes,8.59,1.26,No,5.61,20.42,Safe
Rain,Yes,11.66,10.65,No,5.97,5.78,Moderate
Clear,No,5.53,20.81,Yes,6.63,8.88,Safe
Rain,Yes,3.2,20.14,No,0.66,15.73,High
Clear,No,8.61,5.61,No,9.62,23.7,Safe
Clear,No,9.9,5.65,Yes,0.92,21.7,High
Rain,No,6.78,20.43,No,1.86,21.85,Moderate
Clear,No,11.62,23.26,No,0.63,11.06,Safe
Rain,Yes,1.09,2.38,Yes,5.89,13.59,High
Clear,No,6.31,11.25,No,9.36,14.41,Safe
Clear,No,8.76,8.44,Yes,6.83,8.15,Safe
Rain,Yes,10.42,21.77,Yes,8.32,5.62,Moderate
Rain,Yes,2.56,2.09,Yes,0.63,23.94,Critical
Rain,No,9.7,5.28,No,5.65,9.81,Moderate
Clear,Yes,6.86,18.81,No,4.87,9.8,Moderate
Rain,No,5.06,1.28,No,5.24,6.67,Moderate
Clear,Yes,2.01,12.31,No,1.19,23.57,Moderate
Clear,Yes,10.45,11.05,Yes,7.0,16.59,Safe
Storm,Yes,2.31,8.36,No,5.28,18.34,Critical
Clear,No,4.06,9.86,No,7.77,23.23,Safe
Storm,No,3.84,13.25,Yes,5.11,11.91,High
Clear,No,10.52,4.03,No,1.92,17.43,Safe
